C:\Users\jim.walker\Desktop\data\IMG\center_2021_06_02_08_20_01_424.jpg, C:\Users\jim.walker\Desktop\data\IMG\left_2021_06_02_08_20_01_424.jpg, C:\Users\jim.walker\Desktop\data\IMG\right_2021_06_02_08_20_01_424.jpg, 0, 0, 0, 7.964129E-05
C:\Users\jim.walker\Desktop\data\IMG\center_2021_06_02_08_20_01_537.jpg, C:\Users\jim.walker\Desktop\data\IMG\left_2021_06_02_08_20_01_537.jpg, C:\Users\jim.walker\Desktop\data\IMG\right_2021_06_02_08_20_01_537.jpg, 0, 0, 0, 7.869481E-05
C:\Users\jim.walker\Desktop\data\IMG\center_2021_06_02_08_20_01_653.jpg, C:\Users\jim.walker\Desktop\data\IMG\left_2021_06_02_08_20_01_653.jpg, C:\Users\jim.walker\Desktop\data\IMG\right_2021_06_02_08_20_01_653.jpg, 0, 0, 0, 7.769962E-05
C:\Users\jim.walker\Desktop\data\IMG\center_2021_06_02_08_20_01_771.jpg, C:\Users\jim.walker\Desktop\data\IMG\left_2021_06_02_08_20_01_771.jpg, C:\Users\jim.walker\Desktop\data\IMG\right_2021_06_02_08_20_01_771.jpg, 0, 0, 0, 7.879836E-05
C:\Users\jim.walker\Desktop\data\IMG\center_2021_06_02_08_20_01_886.jpg, C:\Users\jim.walker\Desktop\data\IMG\left_2021_06_02_08_20_01_886.jpg, C:\Users\jim.walker\Desktop\data\IMG\right_2021_06_02_08_20_01_886.jpg, 0, 0, 0, 7.800457E-05
C:\Users\jim.walker\Desktop\data\IMG\center_2021_06_02_08_20_01_987.jpg, C:\Users\jim.walker\Desktop\data\IMG\left_2021_06_02_08_20_01_987.jpg, C:\Users\jim.walker\Desktop\data\IMG\right_2021_06_02_08_20_01_987.jpg, 0, 0, 0, 7.823413E-05
C:\Users\jim.walker\Desktop\data\IMG\center_2021_06_02_08_20_02_093.jpg, C:\Users\jim.walker\Desktop\data\IMG\left_2021_06_02_08_20_02_093.jpg, C:\Users\jim.walker\Desktop\data\IMG\right_2021_06_02_08_20_02_093.jpg, 0, 0, 0, 7.814183E-05
C:\Users\jim.walker\Desktop\data\IMG\center_2021_06_02_08_20_02_194.jpg, C:\Users\jim.walker\Desktop\data\IMG\left_2021_06_02_08_20_02_194.jpg, C:\Users\jim.walker\Desktop\data\IMG\right_2021_06_02_08_20_02_194.jpg, 0, 0, 0, 8.049935E-05
C:\Users\jim.walker\Desktop\data\IMG\center_2021_06_02_08_20_02_307.jpg, C:\Users\jim.walker\Desktop\data\IMG\left_2021_06_02_08_20_02_307.jpg, C:\Users\jim.walker\Desktop\data\IMG\right_2021_06_02_08_20_02_307.jpg, 0, 0, 0, 7.99179E-05
C:\Users\jim.walker\Desktop\data\IMG\center_2021_06_02_08_20_02_408.jpg, C:\Users\jim.walker\Desktop\data\IMG\left_2021_06_02_08_20_02_408.jpg, C:\Users\jim.walker\Desktop\data\IMG\right_2021_06_02_08_20_02_408.jpg, 0, 0, 0, 8.180379E-05
